Event,ExecTime(ms),VectorSize,Device
Enqueue Kernel Exec Time,0.418592,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.00512,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.071647,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.24848,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.207226,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.763553,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.049441,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.139264,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.15779,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.206287,8192,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.40374,8192,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.184385,8192,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.27456,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.25986,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.510481,16384,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2.97248,16384,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.130239,16384,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.544927,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7.74413,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.512018,32768,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5.8368,32768,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.186977,32768,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1.08749,32768,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,14.9689,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.591891,65536,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,11.7715,65536,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.309952,65536,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,2.16979,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,28.1989,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.786898,131072,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,22.4629,131072,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.458271,131072,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,4.33789,131072,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,56.7661,262144,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.49033,262144,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,45.6274,262144,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.822845,262144,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,8.67341,262144,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,108.529,524288,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.52347,524288,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,87.0355,524288,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,1.46555,524288,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,17.3425,524288,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,217.767,1048576,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.49277,1048576,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,175.553,1048576,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,2.85696,1048576,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,34.6812,1048576,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,436.001,2097152,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,8.61313,2097152,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,352.062,2097152,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,5.7301,2097152,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,69.3593,2097152,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,858.941,4194304,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,16.5895,4194304,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,692.35,4194304,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,11.0613,4194304,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,138.715,4194304,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1719.93,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,33.0013,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1388.23,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,20.8647,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,277.424,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3495.22,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,63.711,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2841.39,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,34.8389,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,554.842,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,6909.99,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,130.602,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5615.14,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,54.1611,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1109.68,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,13787.3,67108864,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,256.987,67108864,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,11196.3,67108864,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,114.256,67108864,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,2219.35,67108864,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,28227.6,134217728,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,522.57,134217728,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,23057,134217728,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,208.703,134217728,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,4438.71,134217728,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,54503.7,268435456,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1026.49,268435456,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,44220,268435456,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,379.5,268435456,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,8877.41,268435456,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,113050,536870912,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2057.75,536870912,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,92501.3,536870912,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,735.547,536870912,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,17754.8,536870912,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7.66372,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.485112,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.393024,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004736,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036992,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.776069,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.210194,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.400736,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004096,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.070816,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.18552,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.173655,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.749568,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.036864,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.139264,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.11381,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.161423,8192,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.39059,8192,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.202336,8192,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.274432,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.92144,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.183545,16384,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2.97984,16384,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.122593,16384,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.545024,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7.40083,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.229412,32768,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5.8071,32768,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.180225,32768,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1.08733,32768,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,14.7299,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.315004,65536,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,11.8566,65536,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.284447,65536,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,2.17088,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,27.91,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.489016,131072,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,22.527,131072,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.450562,131072,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,4.33767,131072,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,56.3423,262144,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.14317,262144,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,45.5908,262144,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.816131,262144,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,8.67313,262144,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,107.758,524288,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.85563,524288,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,87.0359,524288,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,1.40668,524288,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,17.3437,524288,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,216.564,1048576,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.4648,1048576,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,175.556,1048576,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,2.74704,1048576,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,34.6808,1048576,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,433.982,2097152,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,6.89006,2097152,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,352.208,2097152,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,5.38623,2097152,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,69.358,2097152,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,856.823,4194304,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,14.1316,4194304,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,692.664,4194304,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,11.1227,4194304,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,138.714,4194304,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1717.99,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,30.3863,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1389.22,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,20.5793,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,277.424,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3491.91,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,62.2753,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2842.68,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,31.7134,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,554.841,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,6905.59,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,127.789,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5613.49,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,54.2383,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1109.68,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,13761.4,67108864,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,254.212,67108864,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,11186.4,67108864,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,101.01,67108864,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,2219.35,67108864,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,28205.4,134217728,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,513.856,134217728,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,23048.8,134217728,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,203.484,134217728,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,4438.71,134217728,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,54616.9,268435456,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1018.95,268435456,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,44343.1,268435456,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,377.172,268435456,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,8877.41,268435456,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,113023,536870912,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2054.02,536870912,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,92480.8,536870912,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,733.047,536870912,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,17754.8,536870912,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,6.62585,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.486811,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.394561,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004096,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036959,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.779934,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.210569,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.40384,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004384,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.070399,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.16741,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.157335,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.749568,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.036865,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.139264,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.07264,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.160488,8192,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.39085,8192,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.157599,8192,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.281057,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.9216,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.18563,16384,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2.97853,16384,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.12288,16384,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.544927,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7.40742,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.229704,32768,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5.81472,32768,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.178079,32768,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1.08749,32768,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,14.691,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.32505,65536,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,11.8129,65536,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.274399,65536,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,2.17069,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,27.8872,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.492512,131072,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,22.5232,131072,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.429821,131072,NVIDIA GeForce RTX 2080 Ti
