Event,ExecTime(ms),VectorSize
Enqueue Kernel Exec Time,1479.42,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.249756,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,279.625,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1763.03,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.5639,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1479.42,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.249877,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,279.624,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1762.85,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.3549,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1479.44,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.253296,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,279.624,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1763.62,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.1254,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1479.44,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.250855,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,279.624,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1763.74,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.29227,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1479.44,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.25061,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,279.625,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1762.99,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.5209,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1479.43,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.249756,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,279.625,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1768.98,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.47175,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1483.26,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.251343,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.86,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1773.69,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.0727,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.38,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.249878,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.861,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1773.26,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.63247,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.38,8388608,NVIDIA GeForce RTX 2080 Ti
