Event,ExecTime(ms),VectorSize,Device
Memory Setup Time,0.044988,2048,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.144416,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.247866,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.039144,4096,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.193024,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.331281,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.045855,8192,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.270369,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.410522,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.087897,16384,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.307327,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.53355,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.154546,32768,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.362081,32768,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.774536,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.272636,65536,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.481919,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.32063,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.523871,131072,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.774881,131072,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.30796,262144,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.04515,262144,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,1.24109,262144,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.28957,524288,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.07549,524288,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,2.18237,524288,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,8.23804,1048576,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.10429,1048576,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,4.11034,1048576,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,16.5184,2097152,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,8.44407,2097152,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,8.04675,2097152,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,35.6597,4194304,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,20.0841,4194304,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,15.5308,4194304,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,67.2987,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,38.9022,8388608,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,28.3476,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,122.895,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,79.4411,16777216,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,43.4052,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,233.338,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,155.996,33554432,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,77.2922,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,451.133,67108864,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,304.831,67108864,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,146.251,67108864,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,851.034,134217728,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,594.506,134217728,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,256.409,134217728,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1642.75,268435456,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1160.08,268435456,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,482.609,268435456,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3224.88,536870912,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2288.26,536870912,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,936.499,536870912,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.92312,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.095271,1024,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.462847,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.192878,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.044017,2048,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.128928,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.237606,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.038199,4096,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.184321,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.334106,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.045504,8192,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.274368,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.338311,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.081446,16384,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.241696,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.542548,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.14344,32768,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.383137,32768,NVIDIA GeForce RTX 2080 Ti
