Event,ExecTime(ms),VectorSize,WorkGroupSize
Total Exec Time,2.93792,32768,32
Memory Setup Time,2.82931,32768,32
Kernel Exec Time,0.01264,32768,32
Total Exec Time,2.89094,32768,32
Memory Setup Time,2.82109,32768,32
Kernel Exec Time,0.014335,32768,32
Total Exec Time,3.18457,32768,32
Memory Setup Time,3.03492,32768,32
Kernel Exec Time,0.016383,32768,32
Total Exec Time,3.04206,32768,32
Memory Setup Time,2.89064,32768,32
Kernel Exec Time,0.016608,32768,32
Total Exec Time,3.02104,32768,32
Memory Setup Time,2.87215,32768,32
Kernel Exec Time,0.017791,32768,32
Total Exec Time,3.22358,32768,32
Memory Setup Time,3.07407,32768,32
Kernel Exec Time,0.016447,32768,32
Total Exec Time,2.7631,32768,32
Memory Setup Time,2.69355,32768,32
Kernel Exec Time,0.013055,32768,32
Total Exec Time,2.8823,32768,32
Memory Setup Time,2.81231,32768,32
Kernel Exec Time,0.01296,32768,32
Total Exec Time,3.27711,32768,32
Memory Setup Time,3.12053,32768,32
Kernel Exec Time,0.016703,32768,32
Total Exec Time,2.96467,32768,32
Memory Setup Time,2.89446,32768,32
Kernel Exec Time,0.012993,32768,32
Total Exec Time,2.70394,32768,32
Memory Setup Time,2.63321,32768,32
Kernel Exec Time,0.012897,32768,32
Total Exec Time,3.41885,32768,32
Memory Setup Time,3.26993,32768,32
Kernel Exec Time,0.017024,32768,32
Total Exec Time,2.80733,32768,32
Memory Setup Time,2.73881,32768,32
Kernel Exec Time,0.013153,32768,32
Total Exec Time,2.7167,32768,32
Memory Setup Time,2.64644,32768,32
Kernel Exec Time,0.013696,32768,32
Total Exec Time,2.69533,32768,32
Memory Setup Time,2.61768,32768,32
Kernel Exec Time,0.013761,32768,32
Total Exec Time,2.98269,32768,32
Memory Setup Time,2.91252,32768,32
Kernel Exec Time,0.013248,32768,32
Total Exec Time,3.26996,65536,32
Memory Setup Time,3.11276,65536,32
Kernel Exec Time,0.026049,65536,32
Total Exec Time,2.48453,65536,32
Memory Setup Time,2.40666,65536,32
Kernel Exec Time,0.022111,65536,32
Total Exec Time,3.02778,65536,32
Memory Setup Time,2.8599,65536,32
Kernel Exec Time,0.026624,65536,32
Total Exec Time,2.67484,65536,32
Memory Setup Time,2.59676,65536,32
Kernel Exec Time,0.020961,65536,32
Total Exec Time,2.88903,65536,32
Memory Setup Time,2.80967,65536,32
Kernel Exec Time,0.02224,65536,32
Total Exec Time,3.03479,65536,32
Memory Setup Time,2.95603,65536,32
Kernel Exec Time,0.021087,65536,32
Total Exec Time,2.78562,65536,32
Memory Setup Time,2.70746,65536,32
Kernel Exec Time,0.022145,65536,32
Total Exec Time,2.82051,65536,32
Memory Setup Time,2.74244,65536,32
Kernel Exec Time,0.02224,65536,32
Total Exec Time,2.98091,65536,32
Memory Setup Time,2.89879,65536,32
Kernel Exec Time,0.022399,65536,32
Total Exec Time,2.76735,65536,32
Memory Setup Time,2.68566,65536,32
Kernel Exec Time,0.022559,65536,32
Total Exec Time,3.04215,65536,32
Memory Setup Time,2.96253,65536,32
Kernel Exec Time,0.022528,65536,32
Total Exec Time,3.31187,65536,32
Memory Setup Time,3.1476,65536,32
Kernel Exec Time,0.02656,65536,32
Total Exec Time,2.83708,65536,32
Memory Setup Time,2.75908,65536,32
Kernel Exec Time,0.022848,65536,32
Total Exec Time,2.92869,65536,32
Memory Setup Time,2.85024,65536,32
Kernel Exec Time,0.022016,65536,32
Total Exec Time,3.38073,65536,32
Memory Setup Time,3.19673,65536,32
Kernel Exec Time,0.02528,65536,32
Total Exec Time,3.12612,65536,32
Memory Setup Time,3.04674,65536,32
Kernel Exec Time,0.022559,65536,32
Total Exec Time,3.30271,65536,32
Memory Setup Time,3.22504,65536,32
Kernel Exec Time,0.022528,65536,32
Total Exec Time,2.97109,65536,32
Memory Setup Time,2.89174,65536,32
Kernel Exec Time,0.022527,65536,32
Total Exec Time,3.28956,65536,32
Memory Setup Time,3.12812,65536,32
Kernel Exec Time,0.022111,65536,32
Total Exec Time,3.27188,65536,32
Memory Setup Time,3.1924,65536,32
Kernel Exec Time,0.022528,65536,32
Total Exec Time,3.06142,65536,32
Memory Setup Time,2.90189,65536,32
Kernel Exec Time,0.026624,65536,32
Total Exec Time,2.8266,65536,32
Memory Setup Time,2.7485,65536,32
Kernel Exec Time,0.021184,65536,32
Total Exec Time,2.74528,65536,32
Memory Setup Time,2.66646,65536,32
Kernel Exec Time,0.021825,65536,32
Total Exec Time,2.72529,65536,32
Memory Setup Time,2.64745,65536,32
Kernel Exec Time,0.022241,65536,32
Total Exec Time,3.39208,65536,32
Memory Setup Time,3.29099,65536,32
Kernel Exec Time,0.022528,65536,32
Total Exec Time,3.28099,65536,32
Memory Setup Time,3.12375,65536,32
Kernel Exec Time,0.025568,65536,32
Total Exec Time,4.21507,65536,32
Memory Setup Time,4.13222,65536,32
Kernel Exec Time,0.021889,65536,32
Total Exec Time,3.16338,65536,32
Memory Setup Time,3.03533,65536,32
Kernel Exec Time,0.024576,65536,32
Total Exec Time,2.94284,131072,32
Memory Setup Time,2.8473,131072,32
Kernel Exec Time,0.038912,131072,32
Total Exec Time,3.4751,131072,32
Memory Setup Time,3.29857,131072,32
Kernel Exec Time,0.042207,131072,32
Total Exec Time,3.04327,131072,32
Memory Setup Time,2.94726,131072,32
Kernel Exec Time,0.038944,131072,32
Total Exec Time,3.4767,131072,32
Memory Setup Time,3.30124,131072,32
Kernel Exec Time,0.038911,131072,32
Total Exec Time,3.14886,131072,32
Memory Setup Time,3.04664,131072,32
Kernel Exec Time,0.038912,131072,32
Total Exec Time,3.10548,131072,32
Memory Setup Time,3.00973,131072,32
Kernel Exec Time,0.038911,131072,32
Total Exec Time,2.92449,131072,32
Memory Setup Time,2.82915,131072,32
Kernel Exec Time,0.038816,131072,32
