Event,ExecTime(ms),VectorSize,WorkGroupSize
Memory Setup Time,2.23641,8192,1024
Kernel Exec Time,0.172031,8192,1024
Total Exec Time,2.55756,8192,1024
Memory Setup Time,2.33629,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,2.32077,8192,1024
Memory Setup Time,2.09847,8192,1024
Kernel Exec Time,0.169983,8192,1024
Total Exec Time,2.48032,8192,1024
Memory Setup Time,2.2585,8192,1024
Kernel Exec Time,0.169984,8192,1024
Total Exec Time,2.54474,8192,1024
Memory Setup Time,2.32101,8192,1024
Kernel Exec Time,0.169983,8192,1024
Total Exec Time,2.63307,8192,1024
Memory Setup Time,2.41036,8192,1024
Kernel Exec Time,0.171007,8192,1024
Total Exec Time,2.5283,8192,1024
Memory Setup Time,2.30372,8192,1024
Kernel Exec Time,0.169984,8192,1024
Total Exec Time,2.74132,8192,1024
Memory Setup Time,2.51922,8192,1024
Kernel Exec Time,0.169984,8192,1024
Total Exec Time,2.47858,8192,1024
Memory Setup Time,2.25576,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,2.63525,8192,1024
Memory Setup Time,2.41139,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,2.71109,8192,1024
Memory Setup Time,2.48837,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,4.52414,8192,1024
Memory Setup Time,4.29822,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,3.08221,8192,1024
Memory Setup Time,2.85862,8192,1024
Kernel Exec Time,0.169984,8192,1024
Total Exec Time,3.31753,8192,1024
Memory Setup Time,3.09428,8192,1024
Kernel Exec Time,0.171007,8192,1024
Total Exec Time,2.95906,8192,1024
Memory Setup Time,2.73807,8192,1024
Kernel Exec Time,0.169984,8192,1024
Total Exec Time,2.84972,8192,1024
Memory Setup Time,2.63122,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,2.97259,8192,1024
Memory Setup Time,2.74961,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,2.92943,8192,1024
Memory Setup Time,2.70695,8192,1024
Kernel Exec Time,0.171009,8192,1024
Total Exec Time,3.21372,8192,1024
Memory Setup Time,2.99018,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,3.12959,8192,1024
Memory Setup Time,2.90641,8192,1024
Kernel Exec Time,0.171009,8192,1024
Total Exec Time,3.79409,8192,1024
Memory Setup Time,3.56811,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,2.52909,8192,1024
Memory Setup Time,2.30695,8192,1024
Kernel Exec Time,0.169983,8192,1024
Total Exec Time,2.4294,8192,1024
Memory Setup Time,2.20732,8192,1024
Kernel Exec Time,0.169985,8192,1024
