Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Memory Setup Time,2.92899,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010144,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.6353,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.57003,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009024,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.98162,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.83651,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.013952,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.12741,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.06146,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009152,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.53853,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.4717,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009984,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.11575,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.00102,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009919,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.68907,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.62289,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010239,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.93915,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.79397,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.014335,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.89155,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.82551,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009952,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.91248,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.76715,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.0128,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.56418,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.49763,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010239,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.66155,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.59485,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009888,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.39873,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.33189,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.008993,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.73467,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.66651,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010209,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.97002,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.90338,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010047,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.6502,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.58419,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010241,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.76869,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.69553,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010079,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.70793,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.64143,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010047,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.93609,2048,32,NVIDIA GeForce RTX 2080 Ti
