Event,MeanCGSubmissionTime(ms),MeanKernelExecTime(ms),MeanTotalExecTime(ms),VecSize,WorkGroupSize,GPU
MQ Add,0.004062,0.925013,0.942283,262144,512,A100
MQ Add,0.003344,1.71776,1.73711,524288,512,A100
MQ Add,0.003377,3.30711,3.32604,1048576,512,A100
MQ Add,0.003991,6.44315,6.46394,2097152,512,A100
MQ Add,0.003953,12.8041,12.8287,4194304,512,A100
MQ Add,0.003829,25.4499,25.4774,8388608,512,A100
MQ Add,0.003727,50.836,50.8591,16777216,512,A100
MQ Add,0.003548,101.609,101.638,33554432,512,A100
MQ Add,0.003304,202.343,202.374,67108864,512,A100
MQ Add,0.003906,403.659,403.693,134217728,512,A100
MQ Add,0.003385,807.679,807.721,268435456,512,A100
MQ Add,0.003906,1611.64,1611.7,536870912,512,A100
MQ Add,0.003754,0.192341,1.90858,1024,1024,A100
MQ Add,0.003242,0.179063,0.196641,2048,1024,A100
MQ Add,0.003413,0.180599,0.196951,4096,1024,A100
MQ Add,0.003243,0.182852,0.198695,8192,1024,A100
MQ Add,0.003413,0.188279,0.204799,16384,1024,A100
MQ Add,0.003516,0.358228,0.374801,32768,1024,A100
MQ Add,0.003481,0.53067,0.547844,65536,1024,A100
MQ Add,0.003515,0.877499,0.895,131072,1024,A100
MQ Add,0.003481,1.72308,1.74111,262144,1024,A100
MQ Add,0.00403,3.25236,3.27227,524288,1024,A100
MQ Add,0.003684,6.24599,6.2675,1048576,1024,A100
MQ Add,0.003403,12.5584,12.5793,2097152,1024,A100
MQ Add,0.003413,24.8355,24.8593,4194304,1024,A100
MQ Add,0.003556,49.3801,49.4078,8388608,1024,A100
MQ Add,0.003401,98.6536,98.6809,16777216,1024,A100
MQ Add,0.003466,197.078,197.111,33554432,1024,A100
MQ Add,0.004362,393.365,393.4,67108864,1024,A100
MQ Add,0.003385,786.63,786.674,134217728,1024,A100
MQ Add,0.003515,1572.67,1572.72,268435456,1024,A100
MQ Add,0.001302,3142.65,3142.72,536870912,1024,A100
