Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Total Exec Time,5240.56,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2956.38,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1093.1,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,926.047,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,264.778,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.42749,1024,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.1141,1024,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.554625,1024,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005441,1024,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036864,1024,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.301623,2048,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.060934,2048,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.159103,2048,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004096,2048,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.038368,2048,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.303762,4096,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.044148,4096,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.15376,4096,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.029376,4096,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.037312,4096,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.434051,8192,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.070735,8192,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.174207,8192,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.082657,8192,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.038975,8192,1024,NVIDIA GeForce RTX 2080 Ti
